idSite,GaugeFolder,SiteName,PLA_Chart,Easting,Northing,Latitude,Longitude,ChartDatum_m_below_ODN,Status
01_RICHMOND,01_Richmond,Richmond Lock,304,516980,175100,51.463,-0.3175,0.61,active
02_CHELSEA,02_Chelsea,Chelsea Bridge,315,528580,177740,51.484,-0.1497,2.44,active
03_LONDONBRIDGE,03_LondonBridgeTowerPier,London Bridge (Tower Pier),318,533410,180480,51.5075,-0.079,3.2,active
04_CHARLTON,04_Charlton,Charlton (Cory's),323,540760,179220,51.4943,0.0263,3.35,active
05_NORTHWOOLWICH,05_NorthWoolwichSilvertown,North Woolwich (Silvertown),323,542130,179740,51.4987,0.0462,3.35,active
06_ERITH,06_Erith,Erith (Erith Pier),329,551940,178140,51.4818,0.1868,3.28,active
07_TILBURY,07_Tilbury,Tilbury (NHCT),335,562330,175670,51.4567,0.335,3.12,active
08_GRAVESEND,08_GravesendDenton,Gravesend (Denton),337,566527,174441,51.4445,0.3948,3.12,active
09a_CORYTON_THAMESHAVEN,09_Coryton,Coryton (Thameshaven),340,573960,181390,51.5047,0.5052,3.05,active
09b_CORYTON_NO5JETTY,09_Coryton,Coryton (No5 Jetty),341,575197,181683,51.507,0.5232,3.05,discontinued 2014-06
09c_CORYTON_HOLEHAVEN,09_Coryton,Coryton (Holehaven),341,577128,182304,51.5118,0.5512,3.05,discontinued 2017-12
10_SOUTHEND,10_Southend,Southend Pier,342,589090,183020,51.5145,0.7238,2.9,active
11_SHIVERINGSANDS,11_ShiveringSand,Shivering Sands (F1 Pile),200,615828,179455,51.4728,1.1065,2.68,active
12a_MARGATE_HARBOUR,12_Margate,Margate Harbour,200,635100,171290,51.392,1.378,2.5,active
12b_MARGATE_PILE,12_Margate,Margate Pile,200,635147,171604,51.3947,1.3788,2.5,active (records ~2015-2022)
13_WALTON,13_Walton,Walton on the Naze,200,626026,221163,51.8433,1.28,2.16,active
