idSite,site_name,n,min,max,mean,median,std,p1,p99,skew,kurtosis
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),157731,-2.845,3.986,0.209579,0.108,1.666964,-2.4447,3.211,0.128826,-1.297603
10_SOUTHEND,Southend Pier,1103956,-3.394,4.136,0.16967,0.062,1.578947,-2.449,3.047,0.125075,-1.245472
09a_CORYTON_THAMESHAVEN,Coryton (Thameshaven),365952,-3.405,4.345,0.283445,0.17,1.683993,-2.427,3.341,0.128709,-1.28293
09b_CORYTON_NO5JETTY,Coryton (No5 Jetty),569978,-3.77,4.919,0.0109,-0.142,1.761066,-3.05,3.218,0.104157,-1.177151
07_TILBURY,Tilbury (NHCT),1086485,-3.589,5.06,0.292169,0.181,1.793293,-2.618,3.531,0.118264,-1.279702
03_LONDONBRIDGE,London Bridge (Tower Pier),1080316,-5.3,7.54,0.49847,0.444,1.91005,-2.695,3.972,0.072413,-1.206667
13_WALTON,Walton on the Naze,1079891,-4.043,4.022,0.121874,0.037,1.131482,-1.929,2.2661,0.120227,-1.102825
05_NORTHWOOLWICH,North Woolwich (Silvertown),1078889,-5.52,5.42,0.391624,0.324,1.944699,-2.799,3.9,0.085186,-1.257394
01_RICHMOND,Richmond Lock,1076814,-1.86,17.241,1.443504,1.271,1.428223,-0.862,4.419,0.28776,-0.833696
04_CHARLTON,Charlton (Cory's),1067937,-5.7,7.04,0.412035,0.349,1.935935,-2.76,3.901,0.085893,-1.225594
